Year,quarter,citymarketid_1,citymarketid_2,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax
"2,024",3,"30,194","32,337","Dallas/Fort Worth, TX","Indianapolis, IN",94140,183.7,248.28,72130,-64.58,-0.2601,22010,0.3051
"2,024",3,"30,194","32,600","Dallas/Fort Worth, TX","Little Rock, AR",28670,175.6,216.36,24160,-40.77,-0.1884,4510,0.1867
"2,024",3,"30,194","33,192","Dallas/Fort Worth, TX","Sacramento, CA",81640,229.2,305.5,60390,-76.3,-0.2498,21250,0.3519
"2,024",3,"30,194","34,057","Dallas/Fort Worth, TX","Portland, OR",105560,209.34,282.5,87050,-73.16,-0.259,18510,0.2126
"2,024",3,"30,194","34,614","Dallas/Fort Worth, TX","Salt Lake City, UT",137880,203.57,247.52,116520,-43.95,-0.1776,21360,0.1833
"2,024",3,"30,198","33,570","Pittsburgh, PA","San Diego, CA",26190,253.83,335.23,19010,-81.4,-0.2428,7180,0.3777
"2,024",3,"30,423","30,647","Austin, TX","Cleveland, OH (Metropolitan Area)",24260,225.36,290.86,14440,-65.49,-0.2252,9820,0.6801
"2,024",3,"30,466","31,123","Phoenix, AZ","St. Louis, MO",78460,196.07,253.72,62120,-57.65,-0.2272,16340,0.263
"2,024",3,"30,529","31,135","Hartford, CT","Myrtle Beach, SC",27890,102.16,130.59,27030,-28.43,-0.2177,860,0.0318
"2,024",3,"30,529","31,650","Hartford, CT","Minneapolis/St. Paul, MN",40000,217.36,298.58,29110,-81.21,-0.272,10890,0.3741
"2,024",3,"30,647","31,650","Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",40600,224.71,315.67,28650,-90.96,-0.2881,11950,0.4171
"2,024",3,"30,693","34,057","Nashville, TN","Portland, OR",38030,258.56,329.06,26830,-70.49,-0.2142,11200,0.4174
"2,024",3,"30,721","30,198","Boston, MA (Metropolitan Area)","Pittsburgh, PA",94990,163.34,197.83,85510,-34.48,-0.1743,9480,0.1109
"2,024",3,"30,721","30,994","Boston, MA (Metropolitan Area)","Charleston, SC",88860,144.19,182.65,80560,-38.46,-0.2105,8300,0.103
"2,024",3,"30,721","31,066","Boston, MA (Metropolitan Area)","Columbus, OH",75020,191.33,246.2,55170,-54.87,-0.2229,19850,0.3598
"2,024",3,"30,721","31,714","Boston, MA (Metropolitan Area)","Fort Myers, FL",114770,170.67,212.56,95980,-41.9,-0.1971,18790,0.1958
"2,024",3,"30,721","31,871","Boston, MA (Metropolitan Area)","Greenville/Spartanburg, SC",26450,178.49,262.97,16110,-84.48,-0.3213,10340,0.6418
"2,024",3,"30,792","31,057","Buffalo, NY","Charlotte, NC",44060,164.18,233.37,26250,-69.19,-0.2965,17810,0.6785
"2,024",3,"30,977","30,615","Chicago, IL","El Paso, TX",32630,229.44,290.11,28690,-60.67,-0.2091,3940,0.1373
"2,024",3,"30,977","31,135","Chicago, IL","Myrtle Beach, SC",45320,157.4,196.05,38550,-38.65,-0.1971,6770,0.1756
"2,024",3,"30,977","34,057","Chicago, IL","Portland, OR",139110,227.39,289.42,116060,-62.03,-0.2143,23050,0.1986
"2,024",3,"31,057","30,559","Charlotte, NC","Seattle, WA",59880,342.02,412.89,49730,-70.87,-0.1716,10150,0.2041
"2,024",3,"31,057","33,105","Charlotte, NC","Cincinnati, OH",32620,207.12,268.08,20190,-60.95,-0.2274,12430,0.6156
"2,024",3,"31,057","33,192","Charlotte, NC","Sacramento, CA",21660,289.07,354.26,20250,-65.19,-0.184,1410,0.0696
"2,024",3,"31,057","33,195","Charlotte, NC","Tampa, FL (Metropolitan Area)",64500,206.69,254.92,44120,-48.24,-0.1892,20380,0.4619
