Year,quarter,citymarketid,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHPax,SHAvgHubFare,SHPerPrem,LHPax,LHAvgHubFare,LHPerPrem
2022,3,30140,893800,0.952,255.11,0.0226,378030,193.75,-0.021399999999999975,515770,300.08,0.044800000000000006
2022,3,30154,110630,0.8892,227.38,0.4412,95160,187.71,0.4902,15470,471.45,0.3337
2022,3,30157,27540,0.3468,196.92,-0.0723,24560,183.11,-0.11670000000000003,2980,310.77,0.2279
2022,3,30208,55610,0.0,318.44,0.1083,32170,271.82,0.07719999999999999,23440,382.43,0.1404
2022,3,30257,547460,0.8805,267.85,0.0112,169900,218.53,0.040200000000000014,377560,290.05,0.0017000000000000001
2022,3,30279,103720,0.908,211.59,-0.0815,60220,172.4,-0.0242,43500,265.83,-0.1275
2022,3,30372,85210,0.0,508.31,1.106,29330,408.1,1.0356,55880,560.9,1.1342
2022,3,30397,7239480,0.8934,235.41,0.1348,4136470,196.9,0.08910000000000001,3103010,286.74,0.1801
2022,3,30408,114140,0.615,227.17,-0.1467,18800,232.01,0.11280000000000001,95340,226.21,-0.1851
2022,3,30423,3349930,0.9269,223.91,-0.042,424840,174.05,-0.09950000000000003,2925090,231.15,-0.035199999999999995
2022,3,30431,339330,0.6212,208.22,-0.1064,208420,181.81,-0.11880000000000002,130910,250.28,-0.0917
2022,3,30434,47280,0.0,287.38,-0.0372,18260,247.13,0.1844,29020,312.7,-0.1191
2022,3,30529,1125290,0.805,233.08,-0.0845,259480,196.72,-0.020100000000000007,865810,243.98,-0.0988
2022,3,30581,166070,0.1419,303.34,0.1004,54260,277.49,0.4214,111810,315.89,0.0038
2022,3,30599,491530,0.7764,279.78,0.1243,304450,242.1,0.08379999999999999,187080,341.09,0.175
2022,3,30620,115800,0.1414,296.09,0.0959,46120,263.13,0.1251,69680,317.9,0.0805
2022,3,30627,57320,0.5818,230.59,-0.0859,17820,244.12,0.2931,39500,224.49,-0.2009
2022,3,30693,3390000,0.9624,216.27,-0.0274,1782030,186.44,-0.06159999999999999,1607970,249.33,0.0028000000000000004
2022,3,30713,866460,0.6498,218.08,-0.1094,590240,163.99,-0.16659999999999997,276220,333.67,-0.0402
2022,3,30721,6210770,0.9563,258.39,0.0209,1663640,172.41,0.04370000000000002,4547130,289.85,0.0161
2022,3,30747,18410,0.0,338.77,0.235,8950,254.27,0.4688,9460,418.72,0.13149999999999998
2022,3,30781,78970,0.0,270.98,0.1038,46510,238.73,0.2379,32460,317.2,-0.0116
2022,3,30785,256110,0.5354,284.3,0.042,79030,207.68,0.2807,177080,318.49,-0.0116
2022,3,30792,892320,0.8448,227.25,-0.0455,395310,200.69,0.0937,497010,248.37,-0.11769999999999999
2022,3,32575,1265950,0.9715,175.52,-0.0874,753060,123.14,-0.1765,512890,252.44,-0.010600000000000002
2022,3,30852,3164540,0.9726,214.05,-0.0543,1244860,169.14,-0.011800000000000033,1919680,243.17,-0.0723
2022,3,30849,515990,0.7077,299.87,0.0515,99880,198.16,0.0030999999999999917,416110,324.28,0.059
2022,3,30868,156770,0.0,302.4,0.1619,92520,257.06,0.17759999999999998,64250,367.68,0.1465
2022,3,30647,92050,0.4564,216.76,-0.0351,45810,195.81,-0.044499999999999984,46240,237.52,-0.0273
2022,3,30980,113190,0.0506,306.17,0.1829,65760,261.08,0.1639,47430,368.69,0.2022
2022,3,30990,57630,0.0,283.18,0.0602,39180,231.05,0.11419999999999997,18450,393.89,-0.00010000000000000026
2022,3,30994,1023090,0.73,214.48,-0.094,585670,177.79,-0.14790000000000003,437420,263.61,-0.039099999999999996
2022,3,31003,196730,0.5048,242.63,-0.0675,63270,220.47,-0.033499999999999974,133460,253.14,-0.0808
2022,3,30647,1647160,0.8457,227.68,-0.0056,685850,204.3,0.1129,961310,244.36,-0.065
2022,3,31057,2921260,0.5465,264.79,0.2141,1878980,225.0,0.2385,1042280,336.52,0.186
2022,3,31066,1391460,0.8616,247.77,0.08,606720,223.86,0.2425,784740,266.25,-0.0046
2022,3,30189,416870,0.9388,229.45,-0.0803,166480,172.76,-0.17869999999999997,250390,267.14,-0.0304
2022,3,31140,75050,0.774,265.99,-0.0157,29870,218.99,0.1195,45180,297.07,-0.0704
2022,3,31146,25950,0.3333,274.85,0.0474,19480,232.44,-0.01529999999999998,6470,402.52,0.1777
2022,3,33105,1445230,0.8143,222.71,-0.03,553800,203.32,0.03520000000000001,891430,234.76,-0.061799999999999994
2022,3,31252,43190,0.0,284.7,0.1592,17730,263.15,0.3638,25460,299.71,0.06180000000000001
2022,3,30194,2147320,0.9971,199.83,-0.0327,908700,174.83,-0.037699999999999956,1238620,218.17,-0.029799999999999997
2022,3,31267,164040,0.0911,276.98,0.0684,89940,246.63,0.1279,74100,313.82,0.0171
2022,3,30852,4021680,0.6149,235.66,0.0869,1900010,192.93,0.14149999999999996,2121670,273.93,0.05500000000000001
2022,3,30325,8381440,0.9541,221.39,0.0005,1972560,172.43,-0.08819999999999995,6408880,236.46,0.0229
2022,3,30194,5833260,0.5926,258.24,0.1856,1357570,223.81,0.18779999999999997,4475690,268.69,0.1851
2022,3,31337,12880,0.4767,335.78,0.2878,4730,270.89,0.4853,8150,373.44,0.2196
