tbl;Year;quarter;citymarketid;city;markets;cur_passengers;cur_fare;cur_yield;distance;ly_passengers;ly_fare;ly_yield;ly_distance;Geocoded_City;tbl2pk
Table 2;2021;4;34576;Rochester, NY;7;170,560;162.92;25.13;648.2;42,450;150.54;19.47;773.4;;2021434576
Table 2;2021;4;33495;New Orleans, LA;30;1,571,520;186.78;18.88;989.5;656,740;150.32;14.74;1,019.7;;2021433495
Table 2;2021;4;32337;Indianapolis, IN;25;1,246,520;206.51;19.79;1,043.7;570,540;164.68;15.26;1,079.1;;2021432337
Table 2;2021;4;33214;San Antonio, TX;30;1,219,290;207.84;18.36;1,131.7;530,200;185.53;16.06;1,155.0;;2021433214
Table 2;2021;4;32600;Little Rock, AR;7;126,870;191.80;23.06;831.6;68,150;166.98;18.49;902.9;;2021432600
Table 2;2021;4;30140;Albuquerque, NM;15;521,750;203.89;22.58;903.2;167,100;157.04;18.11;867.4;;2021430140
Table 2;2021;4;30325;Denver, CO;67;6,208,670;179.97;17.02;1,057.6;2,802,410;140.07;13.06;1,072.7;;2021430325
Table 2;2021;4;30529;Hartford, CT;19;759,900;211.92;16.62;1,275.1;227,490;169.81;12.99;1,307.4;;2021430529
Table 2;2021;4;31066;Columbus, OH;23;1,025,500;196.93;19.89;990.1;411,130;161.60;15.04;1,074.3;;2021431066
Table 2;2021;4;31871;Greenville/Spartanburg, SC;6;151,150;196.13;29.28;669.7;53,590;169.09;23.76;711.8;;2021431871
Table 2;2021;4;31123;St. Louis, MO;30;1,502,770;191.14;19.74;968.0;654,120;163.76;16.29;1,005.2;;2021431123
Table 2;2021;4;30647;Cleveland, OH (Metropolitan Area);24;1,150,140;184.80;17.80;1,038.1;446,090;150.88;13.04;1,157.0;;2021430647
Table 2;2021;4;30852;Washington, DC (Metropolitan Area);69;7,153,970;200.46;18.46;1,086.0;2,534,050;166.24;14.15;1,174.7;;2021430852
Table 2;2021;4;33570;San Diego, CA;41;3,086,690;219.79;16.60;1,324.0;1,258,620;173.59;12.83;1,352.5;;2021433570
Table 2;2021;4;31453;Houston, TX;63;4,710,990;191.42;18.39;1,040.7;2,238,580;160.58;15.39;1,043.3;;2021431453
Table 2;2021;4;34027;West Palm Beach/Palm Beach, FL;10;952,420;207.73;20.06;1,035.6;321,210;173.88;16.62;1,046.0;;2021434027
Table 2;2021;4;30189;Colorado Springs, CO;6;168,820;160.02;20.25;790.4;37,460;162.52;19.75;823.0;;2021430189
Table 2;2021;4;35096;Syracuse, NY;9;193,010;193.23;20.69;933.9;47,640;169.42;15.09;1,122.9;;2021435096
Table 2;2021;4;30397;Atlanta, GA (Metropolitan Area);61;6,021,670;191.78;21.57;889.3;2,851,450;158.61;17.26;918.9;;2021430397
Table 2;2021;4;33851;Oklahoma City, OK;13;389,050;202.73;20.65;981.9;186,440;170.68;17.10;998.2;;2021433851
Table 2;2021;4;31423;Des Moines, IA;10;214,050;191.71;17.45;1,098.4;102,710;152.09;13.61;1,117.8;;2021431423
Table 2;2021;4;31884;Spokane, WA;12;405,460;187.52;24.44;767.4;222,910;150.71;18.48;815.5;;2021431884
Table 2;2021;4;34614;Salt Lake City, UT;36;2,282,330;211.32;19.63;1,076.7;1,040,190;192.46;17.41;1,105.3;;2021434614
Table 2;2021;4;30977;Chicago, IL;59;7,781,550;180.04;17.87;1,007.7;2,678,480;144.16;13.42;1,073.8;;2021430977
Table 2;2021;4;31638;Fresno, CA;7;155,760;169.50;26.25;645.8;68,760;162.63;22.82;712.7;;2021431638
Table 2;2021;4;34262;Palm Springs, CA;9;335,950;218.27;21.09;1,034.8;127,090;180.78;17.17;1,053.1;;2021434262
Table 2;2021;4;30466;Phoenix, AZ;78;5,806,850;199.66;16.81;1,187.7;2,791,640;166.50;13.95;1,193.2;;2021430466
Table 2;2021;4;33244;Memphis, TN;15;534,560;188.63;22.11;853.3;255,700;164.74;17.92;919.3;;2021433244
Table 2;2021;4;30615;El Paso, TX;14;444,820;196.58;22.30;881.7;175,690;175.31;18.86;929.6;;2021430615
Table 2;2021;4;32211;Las Vegas, NV;68;6,160,340;193.71;15.59;1,242.7;2,505,350;142.93;10.83;1,320.0;;2021432211
Table 2;2021;4;34986;Sarasota/Bradenton, FL;12;429,460;173.37;18.37;943.6;126,500;153.57;16.19;948.8;;2021434986
Table 2;2021;4;30194;Dallas/Fort Worth, TX;77;6,769,760;192.04;19.43;988.6;3,138,860;160.58;16.25;987.9;;2021430194
Table 2;2021;4;31624;Key West, FL;8;125,160;264.43;25.59;1,033.2;62,450;230.81;24.96;924.9;;2021431624
Table 2;2021;4;31650;Minneapolis/St. Paul, MN;41;3,066,260;191.68;17.46;1,098.1;1,170,450;157.11;13.54;1,160.4;;2021431650
Table 2;2021;4;32575;Los Angeles, CA (Metropolitan Area);70;11,760,870;214.66;15.38;1,395.6;4,379,790;176.18;11.88;1,482.7;;2021432575
Table 2;2021;4;34100;Philadelphia, PA;40;2,753,040;210.48;17.47;1,205.0;1,035,710;161.66;12.77;1,266.2;;2021434100
Table 2;2021;4;30721;Boston, MA (Metropolitan Area);48;5,429,370;214.95;16.74;1,284.0;1,489,580;164.85;11.87;1,389.1;;2021430721
Table 2;2021;4;30994;Charleston, SC;14;597,650;185.87;21.50;864.6;220,990;170.84;17.31;986.8;;2021430994
Table 2;2021;4;32467;Miami, FL (Metropolitan Area);57;7,068,690;182.96;14.86;1,231.6;3,054,260;149.85;11.80;1,270.4;;2021432467
Table 2;2021;4;33728;Pensacola, FL;9;167,460;209.43;23.28;899.7;99,350;165.27;17.69;934.3;;2021433728
Table 2;2021;4;31295;Detroit, MI;33;2,702,060;210.97;19.90;1,060.2;1,178,700;171.61;15.24;1,125.7;;2021431295
Table 2;2021;4;34653;Tulsa, OK;8;202,550;190.00;22.66;838.4;103,800;157.22;18.19;864.5;;2021434653
Table 2;2021;4;30599;Birmingham, AL;11;292,330;219.11;25.57;857.0;139,600;167.43;18.99;881.5;;2021430599
Table 2;2021;4;33316;Omaha, NE;15;488,620;192.90;19.13;1,008.5;213,990;165.49;15.82;1,046.4;;2021433316
Table 2;2021;4;33192;Sacramento, CA;31;1,730,130;188.56;18.65;1,011.2;773,420;164.94;14.92;1,105.3;;2021433192
Table 2;2021;4;30423;Austin, TX;36;2,603,930;192.16;16.58;1,159.2;854,630;166.00;14.11;1,176.4;;2021430423
Table 2;2021;4;31986;Grand Rapids, MI;16;385,560;194.51;17.43;1,116.0;200,630;155.52;13.18;1,179.7;;2021431986
Table 2;2021;4;34492;Raleigh/Durham, NC;28;1,689,300;190.93;19.16;996.5;600,430;166.40;15.25;1,091.5;;2021434492
Table 2;2021;4;30198;Pittsburgh, PA;24;1,075,890;200.47;19.37;1,035.0;389,500;165.29;14.34;1,152.3;;2021430198
Table 2;2021;4;31703;New York City, NY (Metropolitan Area);71;13,810,530;204.77;16.14;1,268.4;3,598,720;166.54;12.65;1,316.2;;2021431703
Table 2;2021;4;33105;Cincinnati, OH;25;978,570;191.04;19.45;982.4;411,620;154.39;14.58;1,059.0;;2021433105
Table 2;2021;4;34082;Punta Gorda, FL;10;131,750;120.63;11.53;1,045.9;98,540;107.96;10.36;1,042.5;;2021434082
Table 2;2021;4;30792;Buffalo, NY;13;456,860;180.11;19.71;913.6;114,530;160.06;16.12;992.8;;2021430792
Table 2;2021;4;33195;Tampa, FL (Metropolitan Area);57;3,534,040;175.18;16.00;1,094.7;1,616,150;150.38;13.57;1,107.8;;2021433195
Table 2;2021;4;34524;Richmond, VA;14;484,370;192.04;19.58;981.0;177,000;164.85;15.17;1,086.6;;2021434524
Table 2;2021;4;30713;Boise, ID;12;485,350;168.56;24.74;681.3;263,860;141.40;19.85;712.3;;2021430713
Table 2;2021;4;31603;Eugene, OR;4;118,710;160.89;20.83;772.2;36,690;140.58;15.72;894.2;;2021431603
Table 2;2021;4;30559;Seattle, WA;52;4,513,650;201.17;14.37;1,400.2;1,806,160;168.79;11.96;1,410.7;;2021430559
Table 2;2021;4;34685;Savannah, GA;8;301,730;192.47;22.73;846.8;81,810;190.43;20.44;931.5;;2021434685
Table 2;2021;4;32457;San Francisco, CA (Metropolitan Area);46;7,094,000;216.88;16.71;1,297.9;2,213,320;172.94;13.07;1,323.5;;2021432457
Table 2;2021;4;31995;Greensboro/High Point, NC;4;105,090;185.11;32.40;571.4;30,500;168.40;23.47;717.5;;2021431995
Table 2;2021;4;31136;Jacksonville, FL;21;877,740;194.87;19.27;1,011.1;361,990;174.24;16.17;1,077.8;;2021431136
Table 2;2021;4;33342;Milwaukee, WI;20;748,210;200.28;18.17;1,102.1;305,350;167.20;14.53;1,150.8;;2021433342
Table 2;2021;4;31057;Charlotte, NC;43;2,330,610;205.01;22.18;924.3;1,013,460;170.93;17.30;988.1;;2021431057
Table 2;2021;4;30436;Tucson, AZ;14;363,600;225.34;21.08;1,069.1;159,080;182.88;16.27;1,124.0;;2021430436
Table 2;2021;4;35412;Knoxville, TN;11;218,580;203.58;23.68;859.7;104,040;162.12;17.72;915.0;;2021435412
Table 2;2021;4;33667;Norfolk, VA (Metropolitan Area);18;481,090;225.33;18.54;1,215.5;239,040;192.73;14.05;1,372.0;;2021433667
Table 2;2021;4;31714;Fort Myers, FL;26;1,666,040;208.30;18.26;1,141.0;871,010;171.22;14.81;1,155.9;;2021431714
Table 2;2021;4;31454;Orlando, FL;57;6,168,240;182.16;16.00;1,138.4;2,493,940;141.54;11.78;1,201.7;;2021431454
Table 2;2021;4;33198;Kansas City, MO;30;1,352,000;203.49;20.75;980.7;571,250;172.91;17.05;1,014.2;;2021433198
Table 2;2021;4;30849;Bozeman, MT;6;117,860;169.21;21.95;770.9;43,880;167.28;20.91;799.9;;2021430849
Table 2;2021;4;30257;Albany, NY;9;234,730;201.94;18.52;1,090.1;60,250;166.48;14.29;1,165.1;;2021430257
Table 2;2021;4;33044;Louisville, KY;13;403,390;183.09;20.13;909.4;155,180;163.79;16.39;999.3;;2021433044
Table 2;2021;4;30693;Nashville, TN;40;2,514,340;184.27;20.19;912.8;999,010;153.80;16.19;949.7;;2021430693
Table 2;2021;4;34570;Reno, NV;14;474,390;175.24;22.96;763.3;211,120;156.05;18.70;834.4;;2021434570
Table 2;2021;4;34057;Portland, OR;35;2,085,540;210.55;16.67;1,262.7;862,320;169.50;13.50;1,255.2;;2021434057
Table 2;2022;1;34614;Salt Lake City, UT;40;2,528,910;242.05;21.32;1,135.5;1,352,750;196.60;16.61;1,183.9;;2022134614
Table 2;2022;1;30140;Albuquerque, NM;16;439,970;191.88;22.36;858.0;177,450;161.92;19.62;825.3;;2022130140
Table 2;2022;1;30325;Denver, CO;66;5,755,470;186.14;17.56;1,060.3;2,667,580;143.39;13.25;1,081.8;;2022130325
Table 2;2022;1;30529;Hartford, CT;14;567,230;196.04;15.48;1,266.3;239,650;160.28;12.85;1,247.8;;2022130529
Table 2;2022;1;33667;Norfolk, VA (Metropolitan Area);15;330,640;216.43;18.52;1,168.8;178,620;188.05;15.46;1,216.6;;2022133667
Table 2;2022;1;32467;Miami, FL (Metropolitan Area);64;7,833,120;195.32;15.73;1,241.8;4,268,910;155.93;12.50;1,247.0;;2022132467
Table 2;2022;1;31066;Columbus, OH;19;836,720;198.85;19.66;1,011.2;415,850;166.12;16.00;1,038.0;;2022131066
Table 2;2022;1;31884;Spokane, WA;13;376,570;195.76;23.19;844.0;218,580;151.40;17.25;877.7;;2022131884
Table 2;2022;1;31123;St. Louis, MO;29;1,242,930;195.67;20.12;972.4;642,630;172.19;17.50;983.9;;2022131123
Table 2;2022;1;33342;Milwaukee, WI;17;706,560;197.66;17.06;1,158.4;366,980;170.53;14.58;1,169.5;;2022133342
Table 2;2022;1;30647;Cleveland, OH (Metropolitan Area);22;1,072,880;177.57;16.63;1,067.9;480,040;156.99;14.18;1,107.5;;2022130647
Table 2;2022;1;30852;Washington, DC (Metropolitan Area);62;5,585,910;199.79;18.34;1,089.3;2,207,710;171.42;15.03;1,140.5;;2022130852
Table 2;2022;1;33192;Sacramento, CA;26;1,347,980;177.49;19.67;902.1;639,920;158.54;15.91;996.5;;2022133192
Table 2;2022;1;33728;Pensacola, FL;9;144,080;214.17;26.45;809.8;94,340;171.59;20.36;842.6;;2022133728
Table 2;2022;1;31423;Des Moines, IA;10;215,500;192.91;16.45;1,172.7;133,270;162.38;13.63;1,191.1;;2022131423
Table 2;2022;1;34082;Punta Gorda, FL;17;279,850;120.98;11.35;1,065.8;211,690;113.47;11.01;1,030.2;;2022134082
Table 2;2022;1;30189;Colorado Springs, CO;4;122,830;144.77;22.49;643.7;39,370;138.44;21.18;653.6;;2022130189
