tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;cur_passengers;cur_fare;ly_fare;ly_passengers;amount_change;percent_change;amount_change_pax;percent_change_pax;Geocoded_City1;Geocoded_City2
Table 3;2,024;3;30,140;30,559;Albuquerque, NM;Seattle, WA;40,350;242.54;202.85;43,080;39.70;0.1957;-2,730;-0.0634;;
Table 3;2,024;3;30,189;30,466;Colorado Springs, CO;Phoenix, AZ;27,420;199.19;163.70;30,340;35.49;0.2168;-2,920;-0.0962;;
Table 3;2,024;3;30,189;32,211;Colorado Springs, CO;Las Vegas, NV;25,580;183.86;147.67;31,290;36.19;0.2451;-5,710;-0.1825;;
Table 3;2,024;3;30,325;31,136;Denver, CO;Jacksonville, FL;36,510;282.44;238.69;41,900;43.75;0.1833;-5,390;-0.1286;;
Table 3;2,024;3;30,397;30,647;Atlanta, GA (Metropolitan Area);Cleveland, OH (Metropolitan Area);82,370;214.50;147.08;94,320;67.42;0.4584;-11,950;-0.1267;;
Table 3;2,024;3;30,397;30,693;Atlanta, GA (Metropolitan Area);Nashville, TN;38,980;262.19;216.49;40,240;45.70;0.2111;-1,260;-0.0313;;
Table 3;2,024;3;30,397;31,057;Atlanta, GA (Metropolitan Area);Charlotte, NC;33,250;319.50;248.35;36,950;71.14;0.2865;-3,700;-0.1001;;
Table 3;2,024;3;30,397;32,337;Atlanta, GA (Metropolitan Area);Indianapolis, IN;62,720;237.18;198.02;67,200;39.16;0.1978;-4,480;-0.0667;;
Table 3;2,024;3;30,397;33,244;Atlanta, GA (Metropolitan Area);Memphis, TN;39,010;241.23;202.56;41,110;38.67;0.1909;-2,100;-0.0511;;
Table 3;2,024;3;30,397;34,027;Atlanta, GA (Metropolitan Area);West Palm Beach/Palm Beach, FL;51,360;245.40;177.11;65,290;68.29;0.3856;-13,930;-0.2134;;
Table 3;2,024;3;30,397;34,524;Atlanta, GA (Metropolitan Area);Richmond, VA;52,630;236.50;199.37;58,400;37.13;0.1862;-5,770;-0.0988;;
Table 3;2,024;3;30,423;30,194;Austin, TX;Dallas/Fort Worth, TX;56,280;208.96;167.24;66,200;41.72;0.2494;-9,920;-0.1498;;
Table 3;2,024;3;30,423;30,615;Austin, TX;El Paso, TX;34,310;211.04;171.98;40,780;39.06;0.2271;-6,470;-0.1587;;
Table 3;2,024;3;30,423;30,721;Austin, TX;Boston, MA (Metropolitan Area);113,160;246.90;210.40;126,340;36.51;0.1735;-13,180;-0.1043;;
Table 3;2,024;3;30,423;31,295;Austin, TX;Detroit, MI;49,650;309.87;204.59;58,230;105.28;0.5146;-8,580;-0.1474;;
Table 3;2,024;3;30,423;32,337;Austin, TX;Indianapolis, IN;32,010;230.04;191.31;36,610;38.73;0.2025;-4,600;-0.1256;;
Table 3;2,024;3;30,423;32,575;Austin, TX;Los Angeles, CA (Metropolitan Area);236,010;229.36;185.68;269,780;43.67;0.2352;-33,770;-0.1252;;
