tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;cur_passengers;cur_fare;ly_fare;ly_passengers;amount_change;percent_change;amount_change_pax;percent_change_pax;Geocoded_City1;Geocoded_City2
Table 4;2,024;3;30,194;32,337;Dallas/Fort Worth, TX;Indianapolis, IN;94,140;183.70;248.28;72,130;-64.58;-0.2601;22,010;0.3051;;
Table 4;2,024;3;30,194;32,600;Dallas/Fort Worth, TX;Little Rock, AR;28,670;175.60;216.36;24,160;-40.77;-0.1884;4,510;0.1867;;
Table 4;2,024;3;30,194;33,192;Dallas/Fort Worth, TX;Sacramento, CA;81,640;229.20;305.50;60,390;-76.30;-0.2498;21,250;0.3519;;
Table 4;2,024;3;30,194;34,057;Dallas/Fort Worth, TX;Portland, OR;105,560;209.34;282.50;87,050;-73.16;-0.2590;18,510;0.2126;;
Table 4;2,024;3;30,194;34,614;Dallas/Fort Worth, TX;Salt Lake City, UT;137,880;203.57;247.52;116,520;-43.95;-0.1776;21,360;0.1833;;
Table 4;2,024;3;30,198;33,570;Pittsburgh, PA;San Diego, CA;26,190;253.83;335.23;19,010;-81.40;-0.2428;7,180;0.3777;;
Table 4;2,024;3;30,423;30,647;Austin, TX;Cleveland, OH (Metropolitan Area);24,260;225.36;290.86;14,440;-65.49;-0.2252;9,820;0.6801;;
Table 4;2,024;3;30,466;31,123;Phoenix, AZ;St. Louis, MO;78,460;196.07;253.72;62,120;-57.65;-0.2272;16,340;0.2630;;
Table 4;2,024;3;30,529;31,135;Hartford, CT;Myrtle Beach, SC;27,890;102.16;130.59;27,030;-28.43;-0.2177;860;0.0318;;
Table 4;2,024;3;30,529;31,650;Hartford, CT;Minneapolis/St. Paul, MN;40,000;217.36;298.58;29,110;-81.21;-0.2720;10,890;0.3741;;
Table 4;2,024;3;30,647;31,650;Cleveland, OH (Metropolitan Area);Minneapolis/St. Paul, MN;40,600;224.71;315.67;28,650;-90.96;-0.2881;11,950;0.4171;;
Table 4;2,024;3;30,693;34,057;Nashville, TN;Portland, OR;38,030;258.56;329.06;26,830;-70.49;-0.2142;11,200;0.4174;;
Table 4;2,024;3;30,721;30,198;Boston, MA (Metropolitan Area);Pittsburgh, PA;94,990;163.34;197.83;85,510;-34.48;-0.1743;9,480;0.1109;;
Table 4;2,024;3;30,721;30,994;Boston, MA (Metropolitan Area);Charleston, SC;88,860;144.19;182.65;80,560;-38.46;-0.2105;8,300;0.1030;;
Table 4;2,024;3;30,721;31,066;Boston, MA (Metropolitan Area);Columbus, OH;75,020;191.33;246.20;55,170;-54.87;-0.2229;19,850;0.3598;;
Table 4;2,024;3;30,721;31,714;Boston, MA (Metropolitan Area);Fort Myers, FL;114,770;170.67;212.56;95,980;-41.90;-0.1971;18,790;0.1958;;
Table 4;2,024;3;30,721;31,871;Boston, MA (Metropolitan Area);Greenville/Spartanburg, SC;26,450;178.49;262.97;16,110;-84.48;-0.3213;10,340;0.6418;;
Table 4;2,024;3;30,792;31,057;Buffalo, NY;Charlotte, NC;44,060;164.18;233.37;26,250;-69.19;-0.2965;17,810;0.6785;;
Table 4;2,024;3;30,977;30,615;Chicago, IL;El Paso, TX;32,630;229.44;290.11;28,690;-60.67;-0.2091;3,940;0.1373;;
Table 4;2,024;3;30,977;31,135;Chicago, IL;Myrtle Beach, SC;45,320;157.40;196.05;38,550;-38.65;-0.1971;6,770;0.1756;;
Table 4;2,024;3;30,977;34,057;Chicago, IL;Portland, OR;139,110;227.39;289.42;116,060;-62.03;-0.2143;23,050;0.1986;;
