tbl;Year;quarter;citymarketid;cityname;airportid;apt;TotalMkts;TotalFaredPax;TotalPerLFMkts;TotalAvgHubFare;TotalPerPrem;SHMkts;SHPax;SHPerLFMkts;SHAvgHubFare;SHPerPrem;LHMkts;LHPax;LHPerLFMkts;LHAvgHubFare;LHPerPrem;tbl7pk
Table 7;2022;3;30140;Albuquerque, NM;10140;ABQ;85;893,800;0.9520;255.11;0.0226;19;378,030;0.9394;193.75;-0.0214;66;515,770;0.9612;300.08;0.0448;2022310140ABQ
Table 7;2022;3;30154;Nantucket, MA;10154;ACK;20;110,630;0.8892;227.38;0.4412;9;95,160;0.8717;187.71;0.4902;11;15,470;0.9968;471.45;0.3337;2022310154ACK
Table 7;2022;3;30157;Eureka/Arcata, CA;10157;ACV;7;27,540;0.3468;196.92;-0.0723;6;24,560;0.3888;183.11;-0.1167;1;2,980;0.0000;310.77;0.2279;2022310157ACV
Table 7;2022;3;30208;Augusta, GA;10208;AGS;33;55,610;0.0000;318.44;0.1083;15;32,170;0.0000;271.82;0.0772;18;23,440;0.0000;382.43;0.1404;2022310208AGS
Table 7;2022;3;30257;Albany, NY;10257;ALB;71;547,460;0.8805;267.85;0.0112;26;169,900;0.6150;218.53;0.0402;45;377,560;1.0000;290.05;0.0017;2022310257ALB
Table 7;2022;3;30279;Amarillo, TX;10279;AMA;33;103,720;0.9080;211.59;-0.0815;8;60,220;0.8617;172.40;-0.0242;25;43,500;0.9722;265.83;-0.1275;2022310279AMA
Table 7;2022;3;30372;Aspen, CO;10372;ASE;24;85,210;0.0000;508.31;1.1060;6;29,330;0.0000;408.10;1.0356;18;55,880;0.0000;560.90;1.1342;2022310372ASE
Table 7;2022;3;30397;Atlanta, GA (Metropolitan Area);10397;ATL;165;7,239,480;0.8934;235.41;0.1348;93;4,136,470;0.8839;196.90;0.0891;72;3,103,010;0.9061;286.74;0.1801;2022310397ATL
Table 7;2022;3;30408;Appleton, WI;10408;ATW;38;114,140;0.6150;227.17;-0.1467;7;18,800;0.3819;232.01;0.1128;31;95,340;0.6610;226.21;-0.1851;2022310408ATW
Table 7;2022;3;30423;Austin, TX;10423;AUS;138;3,349,930;0.9269;223.91;-0.0420;28;424,840;0.8721;174.05;-0.0995;110;2,925,090;0.9349;231.15;-0.0352;2022310423AUS
Table 7;2022;3;30431;Asheville, NC;10431;AVL;57;339,330;0.6212;208.22;-0.1064;32;208,420;0.5952;181.81;-0.1188;25;130,910;0.6627;250.28;-0.0917;2022310431AVL
Table 7;2022;3;30434;Scranton/Wilkes-Barre, PA;10434;AVP;19;47,280;0.0000;287.38;-0.0372;4;18,260;0.0000;247.13;0.1844;15;29,020;0.0000;312.70;-0.1191;2022310434AVP
Table 7;2022;3;30529;Hartford, CT;10529;BDL;87;1,125,290;0.8050;233.08;-0.0845;27;259,480;0.5471;196.72;-0.0201;60;865,810;0.8822;243.98;-0.0988;2022310529BDL
